n1,n2,n3,n4,n5,l
3.934780955314636230e-01,6.355733871459960938e-01,-2.378733634948730469e+00,1.363305687904357910e+00,9.588827937841415405e-02,trading
4.695509970188140869e-01,-2.086990624666213989e-01,-1.469177603721618652e+00,-1.875807940959930420e-01,-2.347096949815750122e-01,adult
5.341739654541015625e-01,-3.363335132598876953e-01,-1.316786766052246094e+00,-9.185798466205596924e-03,2.149181663990020752e-01,marker
8.565939962863922119e-02,-5.739334598183631897e-02,-1.105790734291076660e+00,-1.952059119939804077e-01,2.284177839756011963e-01,bizarre
3.048168718814849854e-01,9.752323627471923828e-01,-2.287846088409423828e+00,9.778031706809997559e-01,1.800204962491989136e-01,sheffield
4.962468445301055908e-01,5.108387470245361328e-01,-2.278509855270385742e+00,1.029581665992736816e+00,-7.550957798957824707e-01,stock
-1.888089030981063843e-01,-2.121351063251495361e-01,-2.107020378112792969e+00,-2.800822854042053223e-01,2.056872844696044922e-01,drive
1.451018452644348145e-01,2.865261957049369812e-02,-1.451579213142395020e+00,4.791831076145172119e-01,-6.248868107795715332e-01,edinburgh
-2.892494499683380127e-01,4.252152740955352783e-01,-2.377953767776489258e+00,2.189573459327220917e-02,6.826546192169189453e-01,ranging
5.998323559761047363e-01,-8.094551563262939453e-01,-2.163259267807006836e+00,1.019928216934204102e+00,-1.051049903035163879e-01,better
4.278757572174072266e-01,-2.399489730596542358e-01,-1.522111296653747559e+00,9.707213044166564941e-01,2.830090224742889404e-01,makes
4.830206632614135742e-01,-3.344403505325317383e-01,-1.481392621994018555e+00,2.229059785604476929e-01,6.164149045944213867e-01,options
9.415611028671264648e-01,-8.371471762657165527e-01,-2.203295946121215820e+00,6.618378162384033203e-01,3.507947623729705811e-01,potter
3.124670125544071198e-02,9.882896542549133301e-01,-2.277439832687377930e+00,4.578092396259307861e-01,-5.843888521194458008e-01,edgware
4.393852949142456055e-01,5.199015736579895020e-01,-1.912592530250549316e+00,1.057644486427307129e+00,-6.497260332107543945e-01,pushing
-5.848459154367446899e-02,2.020317167043685913e-01,-2.213527441024780273e+00,5.971969366073608398e-01,-1.015805840492248535e+00,exchange
9.074665307998657227e-01,1.408392935991287231e-01,-1.402935624122619629e+00,8.178311586380004883e-01,2.261365801095962524e-01,midnight
-5.685569643974304199e-01,9.666761755943298340e-01,-2.610626697540283203e+00,8.258536458015441895e-01,-3.033444583415985107e-01,add
7.297661900520324707e-01,-1.632655858993530273e-01,-1.601420521736145020e+00,-1.556942015886306763e-01,6.205773353576660156e-01,acclaim
4.993270933628082275e-01,-2.076051235198974609e-01,-1.085310697555541992e+00,-3.855473175644874573e-02,4.459259212017059326e-01,decryption
4.952206015586853027e-01,6.783983111381530762e-01,-1.474599003791809082e+00,4.354640543460845947e-01,-5.632679462432861328e-01,amputees
1.392382979393005371e-01,-1.082414150238037109e+00,-2.132346868515014648e+00,7.125359773635864258e-01,-1.899409852921962738e-02,return
5.980241298675537109e-01,8.736845850944519043e-01,-2.142848968505859375e+00,-2.218822687864303589e-01,-6.929525732994079590e-01,passport
4.737828969955444336e-01,-1.983308605849742889e-02,-7.919441461563110352e-01,5.056425929069519043e-01,-2.006971389055252075e-01,premises
8.803372979164123535e-01,5.987136363983154297e-01,-1.807029128074645996e+00,-3.827052712440490723e-01,-2.282725125551223755e-01,equivalent
3.616472184658050537e-01,-2.773820757865905762e-01,-6.767160296440124512e-01,2.108088582754135132e-01,-1.613654047250747681e-01,appearance
7.458668947219848633e-01,8.159438371658325195e-01,-1.448398113250732422e+00,5.301212072372436523e-01,2.092389762401580811e-01,rockstar
1.344666361808776855e+00,3.854255080223083496e-01,-2.234839439392089844e+00,-4.967910349369049072e-01,2.473915964365005493e-01,identity
3.025018572807312012e-01,-4.917316138744354248e-01,-9.981128573417663574e-01,1.578841358423233032e-01,-2.510102391242980957e-01,especially
5.422784686088562012e-01,1.025946021080017090e+00,-2.040976285934448242e+00,1.305306792259216309e+00,-1.998566091060638428e-01,yoda
9.019500017166137695e-01,9.147712588310241699e-01,-1.693648815155029297e+00,2.926353737711906433e-02,-4.050904884934425354e-02,marathon
